3366.csv has VALID utf-8
3367.csv has VALID utf-8
3368.csv has VALID utf-8
3369.csv has VALID utf-8
3370.csv has VALID utf-8
3371.csv has VALID utf-8
3373.csv has VALID utf-8
3374.csv has VALID utf-8
3372.csv has VALID utf-8
3375.csv has VALID utf-8
3377.csv has VALID utf-8
3376.csv has INVALID utf-8
3378.csv has VALID utf-8
3379.csv has VALID utf-8
3380.csv has INVALID utf-8
3381.csv has VALID utf-8
3382.csv has INVALID utf-8
3383.csv has VALID utf-8
3384.csv has INVALID utf-8
3385.csv has VALID utf-8
3386.csv has VALID utf-8
3387.csv has VALID utf-8
3388.csv has VALID utf-8
3389.csv has VALID utf-8
3390.csv has VALID utf-8
3391.csv has VALID utf-8
3392.csv has VALID utf-8
3393.csv has VALID utf-8
3394.csv has VALID utf-8
3395.csv has INVALID utf-8
3396.csv has VALID utf-8
3397.csv has VALID utf-8
3398.csv has VALID utf-8
3399.csv has VALID utf-8
3400.csv has VALID utf-8
3401.csv has VALID utf-8
3402.csv has VALID utf-8
3403.csv has VALID utf-8
3404.csv has VALID utf-8
3405.csv has INVALID utf-8
3406.csv has INVALID utf-8
3407.csv has VALID utf-8
3408.csv has VALID utf-8
3409.csv has VALID utf-8
3410.csv has VALID utf-8
3412.csv has VALID utf-8
3411.csv has INVALID utf-8
3413.csv has VALID utf-8
3414.csv has VALID utf-8
3415.csv has VALID utf-8
3416.csv has VALID utf-8
3417.csv has VALID utf-8
3418.csv has VALID utf-8
3419.csv has VALID utf-8
3420.csv has VALID utf-8
3421.csv has VALID utf-8
3423.csv has INVALID utf-8
3422.csv has VALID utf-8
3424.csv has VALID utf-8
3425.csv has VALID utf-8
3426.csv has VALID utf-8
3427.csv has VALID utf-8
3428.csv has VALID utf-8
3429.csv has VALID utf-8
3430.csv has VALID utf-8
3431.csv has INVALID utf-8
3432.csv has VALID utf-8
3433.csv has VALID utf-8
3434.csv has INVALID utf-8
3435.csv has VALID utf-8
3436.csv has VALID utf-8
3437.csv has VALID utf-8
3438.csv has VALID utf-8
3439.csv has INVALID utf-8
3440.csv has INVALID utf-8
3441.csv has VALID utf-8
3442.csv has VALID utf-8
3443.csv has INVALID utf-8
3444.csv has INVALID utf-8
3445.csv has VALID utf-8
3446.csv has VALID utf-8
3447.csv has VALID utf-8
3448.csv has VALID utf-8
3449.csv has VALID utf-8
3450.csv has VALID utf-8
3451.csv has VALID utf-8
3452.csv has INVALID utf-8
3453.csv has VALID utf-8
